plantID,fruitID,preyTRT,pollenTRT,TRT,stalkHtPollination,noFlrs,noBuds,noPastFlrs,totalFlrs,noClosedTraps,noPartialClosedTraps,noDvlpTraps,totalTraps,noExptFruitsTotal,pollinationDate,collectionDate,noBlkSeeds,MnNoBlkSeeds,bulkWtBlkSeeds,mnWtBlkSeedsFruit,numberSuccessfulFruits,numberFailedFruits,totalLargeCrickets,totalSmallCrickets,totalCricketMass
B11,B11-B,Y,Y,FP,32.5,5,15,1,21,2,2,0,5,2,6/1/2020,6/21/2020,37,39,7.812,0.211135135,17,5,2,0,0.1176
B12,B12-A,N,N,C,32.2,3,2,7,12,0,0,3,6,2,6/1/2020,6/21/2020,23,22.5,5.747,0.249869565,9,1,0,0,0
B12,B12-B,N,N,C,32.2,3,2,7,12,0,0,3,6,2,6/1/2020,6/21/2020,22,22.5,6.831,0.3105,9,1,0,0,0
B13,B13-A,Y,N,F,28.9,4,3,8,15,1,0,3,6,2,6/1/2020,6/21/2020,26,20.5,8.071,0.310423077,9,5,1,0,0.0588
B13,B13-B,Y,N,F,28.9,4,3,8,15,1,0,3,6,2,6/1/2020,6/21/2020,15,20.5,5.216,0.347733333,9,5,1,0,0.0588
B14,B14-A,N,Y,P,43.2,4,10,4,18,0,0,2,5,2,6/1/2020,6/21/2020,6,11.5,1.748,0.291333333,12,4,0,0,0
B14,B14-B,N,Y,P,43.2,4,10,4,18,0,0,2,5,2,6/1/2020,6/21/2020,17,11.5,5.271,0.310058824,12,4,0,0,0
B15,B15-A,Y,Y,FP,37.2,4,13,5,22,2,0,1,6,2,6/1/2020,6/21/2020,28,23,9.111,0.325392857,15,5,7,0,0.4116
B15,B15-B,Y,Y,FP,37.2,4,13,5,22,2,0,1,6,2,6/1/2020,6/21/2020,18,23,6.062,0.336777778,15,5,7,0,0.4116
B16,B16-A,N,N,C,34,3,3,7,13,0,1,0,5,1,6/1/2020,6/21/2010,21,21,6.139,0.30695,12,0,0,0,0
B17,B17-A,Y,N,F,25.5,2,2,4,8,1,0,1,4,1,6/1/2020,6/21/2020,23,23,5.232,0.237818182,7,0,6,0,0.3528
B18,B18-A,N,Y,P,34.9,3,4,6,13,3,0,2,9,1,6/1/2020,6/21/2020,22,22,5.677,0.258045455,11,1,0,0,0
B19,B19-A,Y,Y,FP,32.9,3,3,4,10,1,0,0,1,2,6/1/2020,6/21/2020,29,29,6.881,0.237275862,6,1,3,0,0.1764
B19,B19-B,Y,Y,FP,32.9,3,3,4,10,1,0,0,1,2,6/1/2020,6/21/2020,29,29,6.332,0.218344828,6,1,3,0,0.1764
B20,B20-A,N,N,C,30.2,2,6,3,11,0,0,0,4,1,6/1/2020,6/21/2020,25,25,5.431,0.236130435,7,2,0,0,0
B21,B21-A,Y,N,F,36.3,2,9,5,16,3,0,0,5,1,6/1/2020,6/21/2020,22,22,6.102,0.277363636,13,2,5,0,0.294
B22,B22-A,N,Y,P,29.1,2,5,2,9,1,0,0,4,2,6/1/2020,6/21/2020,29,29.5,8.671,0.309678571,5,0,0,0,0
B22,B22-B,N,Y,P,29.1,2,5,2,9,1,0,0,4,2,6/1/2020,6/21/2020,30,29.5,9.476,0.326758621,5,0,0,0,0
B23,B23-A,Y,Y,FP,28.5,2,2,3,7,3,0,0,3,2,6/1/2020,6/21/2020,20,17.5,6.077,0.30385,6,0,3,0,0.1764
B23,B23-B,Y,Y,FP,28.5,2,2,3,7,3,0,0,3,2,6/1/2020,6/21/2020,15,17.5,4.42,0.294666667,6,0,3,0,0.1764
B24,B24-A,N,N,C,34.5,7,3,7,17,3,0,3,6,2,6/1/2020,6/21/2020,13,12,2.975,0.228846154,11,3,0,0,0
B24,B24-B,N,N,C,34.5,7,3,7,17,3,0,3,6,2,6/1/2020,6/21/2020,11,12,1.861,0.169181818,11,3,0,0,0
B25,B25-A,Y,N,F,34.1,4,4,7,15,1,0,1,3,1,6/1/2020,6/21/2020,18,18,3.124,0.173555556,12,1,3,0,0.1764
B26,B26-A,N,Y,P,29.6,3,1,7,11,1,0,1,4,1,6/3/2020,6/21/2020,16,16,3.644,0.22775,8,2,0,0,0
B27,B27-A,Y,Y,FP,32.7,4,4,1,9,3,0,0,5,2,5/28/2020,6/19/2020,13,16.5,4.793,0.368692308,5,0,2,0,0.1176
B27,B27-B,Y,Y,FP,32.7,4,4,1,9,3,0,0,5,2,5/28/2020,6/19/2020,20,16.5,7.078,0.3539,5,0,2,0,0.1176
B28,B28-A,N,N,C,42.2,2,11,5,18,1,0,0,3,2,6/1/2020,6/21/2020,25,28,8.172,0.32688,13,3,0,0,0
B28,B28-B,N,N,C,42.2,2,11,5,18,1,0,0,3,2,6/1/2020,6/21/2020,31,28,10.152,0.327483871,13,3,0,0,0
B29,B29-A,Y,N,F,34.3,3,4,5,12,5,0,0,6,2,6/1/2020,6/21/2020,32,29.5,8.494,0.2654375,8,1,5,0,0.294
B29,B29-B,Y,N,F,34.3,3,4,5,12,5,0,0,6,2,6/1/2020,6/21/2020,27,29.5,7.422,0.274888889,8,1,5,0,0.294
B30,B30-A,N,Y,P,32.9,4,6,6,16,0,1,0,7,2,5/28/2020,6/19/2020,28,28.5,9.877,0.35275,14,0,0,0,0
B30,B30-B,N,Y,P,32.9,4,6,6,16,0,1,0,7,2,5/28/2020,6/19/2020,29,28.5,11.842,0.408344828,14,0,0,0,0
B31,B31-A,Y,Y,FP,32.7,3,4,4,11,3,0,0,7,2,6/1/2020,6/21/2020,20,19,5.666,0.2833,8,0,6,0,0.3528
B31,B31-B,Y,Y,FP,32.7,3,4,4,11,3,0,0,7,2,6/1/2020,6/21/2020,18,19,4.226,0.248588235,8,0,6,0,0.3528
B32,B32-A,N,N,C,35.8,3,8,2,13,1,0,0,3,2,6/1/2020,6/21/2020,24,24.5,6.422,0.267583333,8,3,0,0,0
B32,B32-B,N,N,C,35.8,3,8,2,13,1,0,0,3,2,6/1/2020,6/21/2020,25,24.5,6.107,0.24428,8,3,0,0,0
B33,B33-A,Y,N,F,35.5,2,3,5,10,2,0,0,7,1,6/1/2020,6/21/2020,10,10,3.774,0.3774,8,1,3,0,0.1764
B34,B34-A,N,Y,P,30.1,2,4,2,8,0,0,0,2,1,5/28/2020,6/19/2020,18,18,5.536,0.307555556,6,3,0,0,0
B35,B35-A,Y,Y,FP,30.8,2,8,4,14,4,0,1,9,1,6/1/2020,6/21/2020,10,10,2.727,0.2727,10,1,7,0,0.4116
B36,B36-A,N,N,C,29.7,2,4,5,11,1,0,2,8,2,6/1/2020,6/21/2020,10,10,2.604,0.2604,8,2,0,0,0
B36,B36-B,N,N,C,29.7,2,4,5,11,1,0,2,8,2,6/1/2020,6/21/2020,10,10,3.419,0.3419,8,2,0,0,0
B37,B37-A,Y,N,F,44,4,8,5,17,4,0,3,12,2,6/1/2020,6/21/2020,37,33,13.698,0.370216216,16,0,12,0,0.7056
B37,B37-B,Y,N,F,44,4,8,5,17,4,0,3,12,2,6/1/2020,6/21/2020,29,33,10.023,0.34562069,16,0,12,0,0.7056
B38,B38-A,N,Y,P,39.2,4,4,7,15,1,0,2,10,2,6/1/2020,6/21/2020,30,26,9.824,0.327466667,9,2,0,0,0
B38,B38-B,N,Y,P,39.2,4,4,7,15,1,0,2,10,2,6/1/2020,6/21/2020,22,26,7.064,0.321090909,9,2,0,0,0
B39,B39-A,Y,Y,FP,34.3,2,2,8,12,2,0,3,13,1,6/1/2020,6/21/2020,21,21,7.503,0.357285714,8,2,3,0,0.1764
B40,B40-A,N,N,C,43.8,3,2,7,12,1,0,1,9,2,6/3/2020,6/24/2020,24,22.5,7.059,0.294125,9,1,0,0,0
B40,B40-B,N,N,C,43.8,3,2,7,12,1,0,1,9,2,6/3/2020,6/24/2020,21,22.5,6.534,0.311142857,9,1,0,0,0
B41,B41-A,Y,N,F,35,3,2,9,14,1,0,0,10,2,6/1/2020,6/21/2020,17,21,6.461,0.380058824,12,0,5,0,0.294
B41,B41-B,Y,N,F,35,3,2,9,14,1,0,0,10,2,6/1/2020,6/21/2020,25,21,8.625,0.345,12,0,5,0,0.294
B42,B42-A,N,Y,P,35.5,3,4,6,13,0,0,0,6,1,6/1/2020,6/21/2020,22,22,9.435,0.428863636,11,1,0,0,0
B43,B43-A,Y,Y,FP,37.2,3,2,4,9,1,0,3,8,2,6/3/2020,6/26/2020,23,24,7.109,0.309086957,7,0,5,0,0.294
B43,B43-B,Y,Y,FP,37.2,3,2,4,9,1,0,3,8,2,6/3/2020,6/26/2020,25,24,7.81,0.3124,7,0,5,0,0.294
B44,B44-A,N,N,C,39.2,3,5,4,12,2,0,2,8,2,6/1/2020,6/21/2020,19,19,5.161,0.271631579,7,3,0,0,0
B44,B44-B,N,N,C,39.2,3,5,4,12,2,0,2,8,2,6/1/2020,6/21/2020,19,19,5.252,0.291777778,7,3,0,0,0
B45,B45-A,Y,N,F,32,2,4,5,11,1,0,1,7,1,6/1/2020,6/21/2020,19,19,4.79,0.252105263,7,3,4,0,0.2352
B46,B46-A,N,Y,P,33.2,2,3,3,8,0,0,2,5,1,6/1/2020,6/21/2020,17,17,5.342,0.314235294,6,1,0,0,0
B47,B47-A,Y,Y,FP,34.7,5,5,8,18,1,0,2,11,1,6/1/2020,6/21/2020,34,34,7.769,0.2285,15,2,4,0,0.2352
B48,B48-A,N,N,C,27.5,4,2,3,9,2,0,0,5,2,6/1/2020,6/21/2020,30,30.5,7.618,0.253933333,6,1,0,0,0
B48,B48-B,N,N,C,27.5,4,2,3,9,2,0,0,5,2,6/1/2020,6/21/2020,31,30.5,8.967,0.289258065,6,1,0,0,0
B49,B49-A,Y,N,F,42.4,3,11,1,15,5,0,0,6,2,6/3/2020,6/24/2020,29,27,10.147,0.349896552,8,5,3,0,0.1764
B49,B49-B,Y,N,F,42.4,3,11,1,15,5,0,0,6,2,6/3/2020,6/24/2020,25,27,8.588,0.34352,8,5,3,0,0.1764
B50,B50-A,N,Y,P,39.7,2,3,5,10,5,0,0,10,1,6/3/2020,6/24/2020,22,22,6.737,0.306227273,6,5,0,0,0
B51,B51-A,Y,Y,FP,32.2,4,8,7,19,4,3,1,15,2,6/1/2020,6/21/2020,16,20.5,2.404,0.15025,15,0,4,0,0.2352
B51,B51-B,Y,Y,FP,32.2,3,0,17,20,3,1,2,23,2,6/7/2020,6/21/2020,25,20.5,6.486,0.25944,15,0,4,0,0.2352
B52,B52-A,N,N,C,30.5,4,7,3,14,2,0,2,7,2,6/1/2020,6/21/2020,41,38.5,10.132,0.247121951,11,1,0,0,0
B52,B52-B,N,N,C,30.5,4,7,3,14,2,0,2,7,2,6/1/2020,6/21/2020,36,38.5,4.528,0.125777778,11,1,0,0,0
B53,B53-A,Y,N,F,29.2,4,5,3,12,2,0,0,5,2,6/1/2020,6/21/2020,28,28,7.373,0.263321429,10,0,7,0,0.4116
B53,B53-B,Y,N,F,29.2,4,5,3,12,2,0,0,5,2,6/1/2020,6/21/2020,28,28,6.409,0.228892857,10,0,7,0,0.4116
B54,B54-A,N,Y,P,30,2,3,5,10,2,0,2,9,2,6/1/2020,6/21/2020,32,28.5,8.309,0.25965625,8,0,0,0,0
B54,B54-B,N,Y,P,30,2,3,5,10,2,0,2,9,2,6/1/2020,6/21/2020,25,28.5,6.519,0.26076,8,0,0,0,0
B55,B55-A,Y,Y,FP,44.5,5,14,1,20,3,0,2,6,2,6/1/2020,6/21/2020,19,17.5,6.151,0.323736842,12,6,7,0,0.4116
B55,B55-B,Y,Y,FP,44.5,5,14,1,20,3,0,2,6,2,6/1/2020,6/21/2020,16,17.5,4.623,0.2889375,12,6,7,0,0.4116
B56,B56-A,N,N,C,26.9,3,6,5,14,2,1,1,9,2,6/1/2020,6/21/2020,25,24.5,7.6,0.304,12,0,0,0,0
B56,B56-B,N,N,C,26.9,3,6,5,14,2,1,1,9,2,6/1/2020,6/21/2020,24,24.5,6.635,0.276458333,12,0,0,0,0
B57,B57-A,Y,N,F,32.7,6,10,6,22,2,0,1,9,2,6/1/2020,6/21/2020,13,17,2.957,0.227461539,NA,NA,4,0,0.2352
B57,B57-B,Y,N,F,32.7,6,10,6,22,2,0,1,9,2,6/1/2020,6/21/2020,21,17,5.15,0.245238095,NA,NA,4,0,0.2352
B58,B58-A,N,Y,P,30,2,4,2,8,1,1,0,4,1,5/28/2020,6/19/2020,26,26,7.348,0.282615385,7,1,0,0,0
B59,B59-A,Y,Y,FP,30.1,4,9,2,15,1,0,0,3,2,6/3/2020,6/24/2020,25,21,7.592,0.30368,9,3,4,0,0.2352
B59,B59-B,Y,Y,FP,30.1,4,9,2,15,1,0,0,3,2,6/3/2020,6/24/2020,17,21,5.664,0.333176471,9,3,4,0,0.2352
B60,B60-A,N,N,C,29.1,3,6,2,11,1,0,0,3,2,6/1/2020,6/21/2020,18,19,2.938,0.163222222,5,0,0,0,0
B60,B60-B,N,N,C,29.1,3,6,2,11,1,0,0,3,2,6/1/2020,6/21/2020,20,19,4.917,0.24585,5,0,0,0,0
B61,B61-A,Y,N,F,37.1,3,16,1,20,2,0,0,3,2,6/1/2020,6/21/2020,28,29,7.719,0.275678571,11,7,5,0,0.294
B61,B61-B,Y,N,F,37.1,3,16,1,20,2,0,0,3,2,6/1/2020,6/21/2020,30,29,8.068,0.268933333,11,7,5,0,0.294
B62,B62-A,N,Y,P,29.6,5,7,4,16,1,0,0,5,2,6/1/2020,6/21/2020,27,25,9.298,0.34437037,13,0,0,0,0
B62,B62-B,N,Y,P,29.6,5,7,4,16,1,0,0,5,2,6/1/2020,6/21/2020,23,25,7.404,0.321913044,13,0,0,0,0
B63,B63-A,Y,Y,FP,36.3,4,10,2,16,2,0,1,5,2,6/1/2020,6/21/2020,29,30,8.475,0.292241379,13,2,4,0,0.2352
B63,B63-B,Y,Y,FP,36.3,4,10,2,16,2,0,1,5,2,6/1/2020,6/21/2020,31,30,10.571,0.341,13,2,4,0,0.2352
B64,B64-A,N,N,C,29.2,3,11,1,15,0,0,0,3,1,6/1/2020,6/21/2020,32,32,8.232,0.25725,11,2,0,0,0
B65,B65-A,Y,N,F,32.5,3,3,5,11,2,1,1,6,2,6/1/2020,6/21/2020,22,24.5,6.999,0.318136364,8,1,5,0,0.294
B65,B65-B,Y,N,F,32.5,3,3,5,11,2,1,1,6,2,6/1/2020,6/21/2020,27,24.5,8.129,0.301074074,8,1,5,0,0.294
B66,B66-A,N,Y,P,36,3,5,5,13,0,0,1,5,1,6/1/2020,6/21/2020,35,35,8.186,0.233885714,10,2,0,0,0
B67,B67-A,Y,Y,FP,34,5,6,7,18,2,0,2,8,2,6/1/2020,6/21/2020,22,22,5.618,0.255363636,15,1,3,0,0.1764
B67,B67-B,Y,Y,FP,34,2,2,14,18,3,0,2,8,2,6/7/2020,6/26/2020,22,22,5.404,0.245636364,15,1,3,0,0.1764
B68,B68-A,N,N,C,32.6,1,8,6,15,0,0,1,7,2,6/1/2020,6/21/2020,29,22.5,9.028,0.311310345,12,1,0,0,0
B68,B68-B,N,N,C,32.6,2,1,12,15,1,0,2,8,2,6/7/2020,6/26/2020,16,22.5,4.187,0.2616875,12,1,0,0,0
B69,B69-A,Y,N,F,38.8,3,2,6,11,0,0,3,6,2,6/1/2020,6/21/2020,41,35,14.987,0.365536585,11,1,6,0,0.3528
B69,B69-B,Y,N,F,38.8,3,2,6,11,0,0,3,6,2,6/1/2020,6/21/2020,29,35,9.868,0.352428571,11,1,6,0,0.3528
B70,B70-A,N,Y,P,29,3,8,3,14,0,0,1,5,2,6/1/2020,6/21/2020,29,26.5,10.876,0.375034483,9,0,0,0,0
B70,B70-B,N,Y,P,29,3,8,3,14,0,0,1,5,2,6/1/2020,6/21/2020,24,26.5,9.477,0.394875,9,0,0,0,0
B71,B71-A,Y,Y,FP,32,2,3,5,10,2,0,3,8,2,6/1/2020,6/21/2020,28,24.5,8.922,0.318642857,8,1,4,0,0.2352
B71,B71-B,Y,Y,FP,32,2,0,9,11,4,0,3,9,2,6/7/2020,6/26/2020,21,24.5,4.1,0.195238095,8,1,4,0,0.2352
B72,B72-A,N,N,C,36.4,3,4,5,12,1,0,1,4,2,6/1/2020,6/21/2020,16,17.5,5.801,0.3625625,11,0,0,0,0
B72,B72-B,N,N,C,36.4,3,4,5,12,1,0,1,4,2,6/1/2020,6/21/2020,19,17.5,7.541,0.396894737,11,0,0,0,0
B73,B73-A,Y,N,F,36.4,2,4,5,11,1,0,1,4,2,6/1/2020,6/21/2020,18,17.5,7.479,0.4155,9,0,3,0,0.1764
B73,B73-B,Y,N,F,36.4,2,4,5,11,1,0,1,4,2,6/1/2020,6/21/2020,17,17.5,7.971,0.468882353,9,0,3,0,0.1764
B74,B74-A,N,Y,P,38.9,2,4,6,12,4,0,1,8,1,6/1/2020,6/21/2020,26,26,6.496,0.249846154,11,0,0,0,0
B75,B75-A,Y,Y,FP,35.6,4,12,6,22,5,0,2,8,1,6/1/2020,6/21/2020,27,27,8.992,0.333037037,20,2,10,0,0.588
B76,B76-A,N,N,C,29.7,2,1,6,9,0,1,0,4,1,6/1/2020,6/21/2020,17,17,4.537,0.266882353,6,2,0,0,0
B77,B77-A,Y,N,F,29.8,2,6,2,10,3,2,0,5,2,5/28/2020,6/19/2020,14,16.5,3.721,0.265785714,6,0,3,1,0.1818
B77,B77-B,Y,N,F,29.8,2,6,2,10,3,2,0,5,2,5/28/2020,6/19/2020,19,16.5,4.749,0.249947368,6,0,3,1,0.1818
B78,B78-A,N,Y,P,32.8,3,2,7,12,1,0,0,4,2,6/3/2020,6/24/2020,12,12,3.76,0.313333333,8,2,0,0,0
B78,B78-B,N,Y,P,32.8,3,2,7,12,1,0,0,4,2,6/3/2020,6/24/2020,12,12,3.817,0.318083333,8,2,0,0,0
B79,B79-A,Y,Y,FP,35.5,4,6,7,17,3,0,3,7,2,6/1/2020,6/21/2020,18,18.5,5.979,0.332166667,15,0,4,0,0.2352
B79,B79-B,Y,Y,FP,35.5,4,6,7,17,3,0,3,7,2,6/1/2020,6/21/2020,19,18.5,5.969,0.314157895,15,0,4,0,0.2352
B80,B80-A,N,N,C,30.6,4,2,7,13,1,0,0,3,2,6/1/2020,6/21/2020,21,22,5.098,0.242761905,11,0,0,0,0
B80,B80-B,N,N,C,30.6,4,2,7,13,1,0,0,3,2,6/1/2020,6/21/2020,23,22,5.28,0.229565217,11,0,0,0,0
