plantID,fruitID,preyTRT,pollenTRT,TRT,stalkHtPollination,noFlrs,noBuds,noPastFlrs,totalFlrs,noClosedTraps,noPartialClosedTraps,noDvlpTraps,totalTraps,noExptFruitsTotal,noExptFruits1,noExptFruits2,pollinationDate,collectionDate,noBlkSeeds,MnNoBlkSeeds,bulkWtBlkSeeds,mnWtBlkSeeds,alive2020,flowering2020,numberSuccessfulFruits,numberFailedFruits,totalLargeCrickets,totalSmallCrickets,totalCricketMass
V5,V5-A,Y,N,F,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,NA,14,0,0.6013
V6,V6-A,N,Y,P,NA,NA,NA,NA,NA,2,0,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,0,0,0
V7,V7-A,Y,Y,FP,NA,NA,NA,NA,NA,1,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,15,0,0.6061
V8,V8-A,N,N,C,37.2,2,11,1,14,4,0,0,7,2,2,n/a,5/31/2020,6/21/2020,14,9.5,5.154,0.368142857,Y,Y,9,2,0,0,0
V8,V8-B,N,N,C,37.2,2,11,1,14,4,0,0,7,2,2,n/a,5/31/2020,6/21/2020,5,9.5,1.233,0.2466,Y,Y,9,2,0,0,0
V9,V9-A,Y,N,F,33.6,4,1,9,14,2,1,0,5,2,2,n/a,5/28/2020,6/16/2020,14,15,4.166,0.297571429,Y,Y,10,2,15,0,0.7186
V9,V9-B,Y,N,F,33.6,4,1,9,14,2,1,0,5,2,2,n/a,5/28/2020,6/16/2020,16,15,4.66,0.29125,Y,Y,10,2,15,0,0.7186
V10,V10-A,N,Y,P,37.8,3,9,1,13,1,0,0,3,3,1,2,5/26/2020,6/14/2020,14,16,3.931,0.280785714,Y,Y,8,1,0,0,0
V10,V10-B,N,Y,P,37.8,3,5,3,11,1,0,0,3,3,1,2,5/28/2020,5/16/2020,3,16,0.508,0.169333333,Y,Y,8,1,0,0,0
V10,V10-C,N,Y,P,37.8,3,5,3,11,1,0,0,3,3,1,2,5/28/2020,5/16/2020,31,16,12.674,0.40883871,Y,Y,8,1,0,0,0
V11,V11-A,Y,Y,FP,NA,NA,NA,NA,NA,1,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,21,0,0.9519
V12,V12-A,N,N,C,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,0,0,0
V13,V13-A,Y,N,F,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,19,0,0.8757
V14,V14-A,N,Y,P,26.1,1,3,3,7,0,0,1,4,1,1,NA,5/31/2020,6/21/2020,12,12,3.064,0.255333333,Y,Y,NA,NA,0,0,0
V15,V15-A,Y,Y,FP,29.8,2,7,6,15,3,0,1,8,2,1,1,5/26/2020,6/14/2020,41,25.5,11.393,0.277878049,Y,Y,10,3,22,0,0.99
V15,V15-B,Y,Y,FP,29.8,2,7,6,15,3,0,1,8,2,1,1,5/26/2020,6/16/2020,10,25.5,2.738,0.2738,Y,Y,10,3,22,0,0.99
V16,V16-A,N,N,C,30.9,0,0,11,11,0,1,4,11,2,2,NA,5/26/2020,6/14/2020,0,0,NA,NA,Y,Y,NA,NA,0,0,0
V16,V16-B,N,N,C,30.9,0,0,11,11,0,1,4,11,2,2,NA,5/26/2020,6/14/2020,NA,0,NA,NA,Y,Y,NA,NA,0,0,0
V17,V17-A,Y,N,F,NA,NA,NA,NA,NA,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,11,0,0.4823
V18,V18-A,N,Y,P,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,0,0,0
V19,V19-A,Y,Y,FP,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,13,0,0.5533
V20,V20-A,N,N,C,36.8,2,8,4,14,1,0,2,8,1,1,NA,5/31/2020,6/21/2020,28,28,9.288,0.331714286,Y,Y,10,3,0,0,0
V21,V21-A,Y,N,F,25.9,1,10,0,11,1,0,0,1,2,1,1,5/26/2020,6/14/2020,0,1.5,NA,NA,Y,Y,10,0,15,0,0.7186
V21,V21-B,Y,N,F,25.9,2,8,1,11,1,0,0,1,2,1,1,5/28/2020,6/16/2020,3,1.5,0.758,0.252666667,Y,Y,10,0,15,0,0.7186
V22,V22-A,N,Y,P,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,0,0,0
V23,V23-A,Y,Y,FP,34.8,2,11,6,19,2,2,1,10,4,2,2,5/26/2020,6/14/2020,31,30.5,10.945,0.353064516,Y,Y,8,0,25,0,1.2405
V23,V23-B,Y,Y,FP,34.8,2,11,6,19,2,2,1,10,4,2,2,5/26/2020,6/14/2020,24,30.5,8.973,0.373875,Y,Y,8,0,25,0,1.2405
V23,V23-C,Y,Y,FP,34.8,5,5,7,17,0,2,1,9,4,2,2,5/28/2020,6/16/2020,38,30.5,13.566,0.357,Y,Y,8,0,25,0,1.2405
V23,V23-D,Y,Y,FP,34.8,5,5,7,17,0,2,1,9,4,2,2,5/28/2020,6/16/2020,29,30.5,9.905,0.341551724,Y,Y,8,0,25,0,1.2405
V24,V24-A,N,N,C,38.5,4,7,3,14,2,0,1,7,2,2,NA,6/2/2020,6/21/2020,25,25.5,8.697,0.34788,Y,Y,10,1,0,0,0
V24,V24-B,N,N,C,38.5,4,7,3,14,2,0,1,7,2,2,NA,6/2/2020,6/21/2020,26,25.5,8.321,0.320038462,Y,Y,10,1,0,0,0
V25,V25-A,Y,N,F,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,20,0,0.9027
V26,V26-A,N,Y,P,22,2,2,1,5,0,0,0,2,1,1,NA,6/2/2020,6/21/2020,3,3,0.52,0.173333333,Y,Y,1,2,0,0,0
V27,V27-A,Y,Y,FP,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,15,0,0.6774
V28,V28-A,N,N,C,27.3,4,9,0,13,1,0,0,6,2,2,NA,5/26/2020,6/14/2020,0,8,NA,NA,Y,Y,10,2,1,0,0
V28,V28-B,N,N,C,27.3,4,9,0,13,1,0,0,6,2,2,NA,5/26/2020,6/14/2020,16,8,3.889,0.2430625,Y,Y,10,2,1,0,0
V29,V29-A,Y,N,F,26.8,5,7,5,17,2,0,2,7,4,2,2,5/26/2020,6/14/2020,30,19.75,9.544,0.318133333,Y,Y,7,5,20,0,0.9217
V29,V29-B,Y,N,F,26.8,5,7,5,17,2,0,2,7,4,2,2,5/26/2020,6/14/2020,24,19.75,5.574,0.23225,Y,Y,7,5,20,0,0.9217
V29,V29-C,Y,N,F,26.8,4,5,9,18,2,0,2,7,4,2,2,5/28/2020,6/16/2020,22,19.75,7.044,0.320181818,Y,Y,7,5,20,0,0.9217
V29,V29-D,Y,N,F,26.8,4,5,9,18,2,0,2,7,4,2,2,5/28/2020,6/16/2020,3,19.75,,0,Y,Y,7,5,20,0,0.9217
V30,V30-A,N,Y,P,24.1,2,2,3,7,1,1,1,6,2,1,1,5/26/2020,6/14/2020,7,9.5,2.341,0.334428571,Y,Y,4,1,0,0,0
V30,V30-B,N,Y,P,24.1,3,0,4,7,1,0,1,6,2,1,1,5/28/2020,6/16/2020,12,9.5,3.343,0.278583333,Y,Y,4,1,0,0,0
V31,V31-A,Y,Y,FP,37.5,5,11,5,21,1,1,0,7,3,2,1,5/26/2020,6/14/2020,6,17.66666667,1.533,0.2555,Y,Y,17,1,23,0,1.0629
V31,V31-B,Y,Y,FP,37.5,5,11,5,21,1,1,0,7,3,2,1,5/26/2020,6/14/2020,20,17.66666667,5.599,0.27995,Y,Y,17,1,23,0,1.0629
V31,V31-C,Y,Y,FP,37.5,3,8,10,21,0,3,3,11,3,2,1,5/28/2020,6/16/2020,27,17.66666667,7.228,0.267703704,Y,Y,17,1,23,0,1.0629
V32,V32-A,N,N,C,32.6,2,6,2,10,2,1,0,5,1,1,NA,5/31/2020,6/21/2020,11,11,4.4,0.4,Y,Y,NA,NA,0,0,0
V33,V33-A,Y,N,F,NA,NA,NA,NA,NA,1,0,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,19,0,0.8456
V34,V34-A,N,Y,P,14.7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,NA,NA,0,0,0
V35,V35-A,Y,Y,FP,35.2,4,17,1,22,3,0,2,11,3,2,1,5/26/2020,6/14/2020,44,45,13.513,0.307113636,Y,Y,18,3,26,0,1.1819
V35,V35-B,Y,Y,FP,35.2,4,17,1,22,3,0,2,11,3,2,1,5/26/2020,6/14/2020,46,45,15.111,0.3285,Y,Y,18,3,26,0,1.1819
V35,V35-C,Y,Y,FP,35.2,3,13,5,21,2,1,2,15,3,2,1,5/28/2020,6/16/2020,45,45,13.337,0.296377778,Y,Y,18,3,26,0,1.1819
V36,V36-A,N,N,C,30.5,3,6,3,12,0,0,0,1,4,2,2,5/26/2020,6/14/2020,17,9.5,5.126,0.301529412,Y,Y,6,0,0,0,0
V36,V36-B,N,N,C,30.5,3,6,3,12,0,0,0,1,4,2,2,5/26/2020,6/14/2020,0,9.5,NA,NA,Y,Y,6,0,0,0,0
V36,V36-C,N,N,C,30.5,3,4,5,12,1,0,0,1,4,2,2,5/28/2020,6/16/2020,17,9.5,4.352,0.256,Y,Y,6,0,0,0,0
V36,V36-D,N,N,C,30.5,3,4,5,12,1,0,0,1,4,2,2,5/28/2020,6/16/2020,4,9.5,1.116,0.279,Y,Y,6,0,0,0,0
V37,V37-A,Y,N,F,32,4,10,1,15,1,0,0,6,4,2,2,5/26/2020,6/14/2020,48,31.5,15.237,0.3174375,Y,Y,11,1,25,0,1.166
V37,V37-B,Y,N,F,32,4,10,1,15,1,0,0,6,4,2,2,5/26/2020,6/14/2020,NA,31.5,NA,NA,Y,Y,11,1,25,0,1.166
V37,V37-C,Y,N,F,32,3,9,4,16,1,0,0,6,4,2,2,5/28/2020,6/16/2020,15,31.5,5.089,0.339266667,Y,Y,11,1,25,0,1.166
V37,V37-D,Y,N,F,32,3,9,4,16,1,0,0,6,4,2,2,5/28/2020,6/16/2020,NA,31.5,NA,NA,Y,Y,11,1,25,0,1.166
V38,V38-A,N,Y,P,34.9,4,7,1,12,0,0,0,8,4,2,2,5/26/2020,6/14/2020,31,30.5,8.873,0.286225806,Y,Y,7,1,0,0,0
V38,V38-B,N,Y,P,34.9,4,7,1,12,0,0,0,8,4,2,2,5/26/2020,6/14/2020,34,30.5,10.193,0.299794118,Y,Y,7,1,0,0,0
V38,V38-C,N,Y,P,34.9,3,5,3,11,0,0,0,8,4,2,2,5/28/2020,6/17/2020,23,30.5,6.986,0.30373913,Y,Y,7,1,0,0,0
V38,V38-D,N,Y,P,34.9,3,5,3,11,0,0,0,8,4,2,2,5/28/2020,6/17/2020,34,30.5,9.478,0.278764706,Y,Y,7,1,0,0,0
V39,V39-A,Y,Y,FP,25.2,2,8,2,12,0,1,0,3,2,2,NA,5/26/2020,6/14/2020,6,7.5,1.745,0.290833333,Y,Y,4,5,17,0,0.7916
V39,V39-B,Y,Y,FP,25.2,2,8,2,12,0,1,0,3,2,2,NA,5/26/2020,6/14/2020,9,7.5,1.946,0.216222222,Y,Y,4,5,17,0,0.7916
V40,V40-A,N,N,C,31.3,3,10,4,17,1,0,0,6,3,2,1,5/26/2020,6/14/2020,4,13.33333333,1.334,0.3335,Y,Y,14,1,0,0,0
V40,V40-B,N,N,C,31.3,3,10,4,17,1,0,0,6,3,2,1,5/26/2020,6/14/2020,19,13.33333333,4.063,0.213842105,Y,Y,14,1,0,0,0
V40,V40-C,N,N,C,31.3,4,8,5,17,1,0,0,6,3,2,1,5/28/2020,6/17/2020,17,13.33333333,5.12,0.301176471,Y,Y,14,1,0,0,0
V41,V41-A,Y,N,F,36,5,20,1,26,0,0,2,8,4,2,2,5/26/2020,6/14/2020,NA,27.66666667,NA,NA,Y,Y,20,4,24,0,1.0566
V41,V41-B,Y,N,F,36,5,20,1,26,0,0,2,8,4,2,2,5/26/2020,6/14/2020,29,27.66666667,11.138,0.384068966,Y,Y,20,4,24,0,1.0566
V41,V41-C,Y,N,F,36,4,19,5,28,2,1,2,10,4,2,2,5/28/2020,6/17/2020,25,27.66666667,9.686,0.38744,Y,Y,20,4,24,0,1.0566
V41,V41-D,Y,N,F,36,4,19,5,28,2,1,2,10,4,2,2,5/28/2020,6/17/2020,29,27.66666667,9.884,0.340827586,Y,Y,20,4,24,0,1.0566
V42,V42-A,N,Y,P,33.3,1,7,1,9,3,0,2,9,1,1,NA,6/3/2020,6/24/2020,26,26,9.547,0.367192308,Y,Y,7,1,0,0,0
V43,V43-A,Y,Y,FP,24.8,3,4,5,12,0,0,0,5,4,2,2,5/26/2020,6/14/2020,6,2.75,1.764,0.294,Y,Y,6,3,23,0,1.0217
V43,V43-B,Y,Y,FP,24.8,3,4,5,12,0,0,0,5,4,2,2,5/26/2020,6/14/2020,5,2.75,1.625,0.325,Y,Y,6,3,23,0,1.0217
V43,V43-C,Y,Y,FP,24.8,3,1,9,13,0,0,0,5,4,2,2,5/28/2020,6/17/2020,0,2.75,NA,NA,Y,Y,6,3,23,0,1.0217
V43,V43-D,Y,Y,FP,24.8,3,1,9,13,0,0,0,5,4,2,2,5/28/2020,6/17/2020,0,2.75,NA,NA,Y,Y,6,3,23,0,1.0217
V44,V44-A,N,N,C,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,0,0,0
V45,V45-A,Y,N,F,36,5,20,6,31,1,0,0,7,4,2,2,5/26/2020,6/14/2020,3,20.25,1.002,0.334,Y,Y,14,0,18,0,0.7695
V45,V45-B,Y,N,F,36,5,20,6,31,1,0,0,7,4,2,2,5/26/2020,6/14/2020,27,20.25,9.949,0.368481481,Y,Y,14,0,18,0,0.7695
V45,V45-C,Y,N,F,36,2,16,6,24,1,0,1,8,4,2,2,5/28/2020,6/17/2020,26,20.25,8.359,0.3215,Y,Y,14,0,18,0,0.7695
V45,V45-D,Y,N,F,36,2,16,6,24,1,0,1,8,4,2,2,5/28/2020,6/17/2020,25,20.25,8.555,0.3422,Y,Y,14,0,18,0,0.7695
V46,V46-A,N,Y,P,35.4,2,7,5,14,1,2,0,8,2,2,NA,5/31/2020,6/21/2020,11,10.5,4.742,0.431090909,Y,Y,8,1,0,0,0
V46,V46-B,N,Y,P,35.4,2,7,5,14,1,2,0,8,2,2,NA,5/31/2020,6/21/2020,10,10.5,4.129,0.4129,Y,Y,8,1,0,0,0
V47,V47-A,Y,Y,FP,35.5,3,18,8,29,1,0,3,12,2,2,NA,5/31/2020,6/21/2020,17,17,5.597,0.329235294,Y,Y,21,1,22,0,1.028
V47,V47-B,Y,Y,FP,35.5,3,18,8,29,1,0,3,12,2,2,NA,5/31/2020,6/21/2020,NA,17,NA,NA,Y,Y,21,1,22,0,1.028
V48,V48-A,N,N,C,30.1,1,7,2,10,0,0,1,3,2,2,NA,5/28/2020,6/17/2020,0,10.5,NA,NA,Y,Y,7,4,0,0,0
V48,V48-B,N,N,C,30.1,1,7,2,10,0,0,1,3,2,2,NA,5/28/2020,6/17/2020,21,10.5,7.445,0.35452381,Y,Y,7,4,0,0,0
V49,V49-A,Y,N,F,27.6,3,10,4,17,1,0,3,8,2,2,NA,5/28/2020,6/17/2020,27,25.5,10.772,0.398962963,Y,Y,11,1,19,0,0.8646
V49,V49-B,Y,N,F,27.6,3,10,4,17,1,0,3,8,2,2,NA,5/28/2020,6/17/2020,24,25.5,NA,NA,Y,Y,11,1,19,0,0.8646
V50,V50-A,N,Y,P,18.1,2,4,4,10,2,0,1,7,2,1,1,5/26/2020,6/14/2020,3,12,0.838,0.279333333,Y,Y,8,2,0,0,0
V50,V50-B,N,Y,P,18.1,NA,2,8,10,0,0,1,5,2,1,1,5/28/2020,6/16/2020,21,12,5.28,0.251428571,Y,Y,8,2,0,0,0
V51,V51-A,Y,Y,FP,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,19,0,0.8488
V52,V52-A,N,N,C,31.3,3,7,1,11,0,0,0,1,3,2,1,5/26/2020,6/14/2020,23,13.33333333,5.444,0.236695652,Y,Y,8,1,0,0,0
V52,V52-B,N,N,C,31.3,3,7,1,11,0,0,0,1,3,2,1,5/26/2020,6/14/2020,0,13.33333333,NA,NA,Y,Y,8,1,0,0,0
V52,V52-C,N,N,C,31.3,NA,5,3,8,0,0,0,1,3,2,1,5/28/2020,6/17/2020,17,13.33333333,3.949,0.232294118,Y,Y,8,1,0,0,0
V53,V53-A,Y,N,F,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,NA,NA,19,0,0.8377
V54,V54-A,N,Y,P,32.2,3,6,1,10,2,2,0,5,4,2,2,5/26/2020,6/14/2020,13,15,3.784,0.291076923,Y,Y,9,1,0,0,0
V54,V54-B,N,Y,P,32.2,3,6,1,10,2,2,0,5,4,2,2,5/26/2020,6/14/2020,12,15,3.365,0.280416667,Y,Y,9,1,0,0,0
V54,V54-C,N,Y,P,32.2,NA,3,8,11,1,1,0,4,4,2,2,5/28/2020,6/17/2020,18,15,3.94,0.218888889,Y,Y,9,1,0,0,0
V54,V54-D,N,Y,P,32.2,NA,3,8,11,1,1,0,4,4,2,2,5/28/2020,6/17/2020,17,15,3.738,0.219882353,Y,Y,9,1,0,0,0
V55,V55-A,Y,Y,FP,32.6,5,5,5,15,2,3,2,12,2,2,NA,5/26/2020,6/14/2020,28,28,10.491,0.374678571,Y,Y,12,3,17,0,0.8708
V55,V55-B,Y,Y,FP,32.6,5,5,5,15,2,3,2,12,2,2,NA,5/26/2020,6/14/2020,28,28,11.184,0.399428571,Y,Y,12,3,17,0,0.8708
V56,V56-A,N,N,C,NA,NA,NA,2,2,0,3,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,0,0,0
V57,V57-A,Y,N,F,38.8,3,17,6,26,1,0,4,11,2,2,NA,5/28/2020,6/17/2020,12,21,3.774,0.3145,Y,Y,14,4,17,0,0.8328
V57,V57-B,Y,N,F,38.8,3,17,6,26,1,0,4,11,2,2,NA,5/28/2020,6/17/2020,30,21,9.061,0.302033333,Y,Y,14,4,17,0,0.8328
V58,V58-A,N,Y,P,33.1,3,4,2,9,3,0,0,5,3,2,1,5/26/2020,6/14/2020,14,13,5.598,0.399857143,Y,Y,4,2,0,0,0
V58,V58-B,N,Y,P,33.1,3,4,2,9,3,0,0,5,3,2,1,5/26/2020,6/14/2020,25,13,6.813,0.27252,Y,Y,4,2,0,0,0
V58,V58-C,N,Y,P,33.1,2,3,6,11,1,1,0,5,3,2,1,5/28/2020,6/17/2020,0,13,NA,NA,Y,Y,4,2,0,0,0
V59,V59-A,Y,Y,FP,NA,NA,NA,5,5,1,0,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,16,0,0.7678
V60,V60-A,N,N,C,16.6,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,0,1,0,0,0
V61,V61-A,Y,N,F,NA,NA,NA,3,3,2,2,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,27,0,1.2612
V62,V62-A,N,Y,P,30.9,2,6,5,13,0,0,0,5,3,1,2,5/26/2020,6/14/2020,19,21,5.585,0.293947368,Y,Y,6,3,0,0,0
V62,V62-B,N,Y,P,30.9,3,5,6,14,1,0,0,5,3,1,2,5/28/2020,6/17/2020,22,21,5.983,0.271954545,Y,Y,6,3,0,0,0
V62,V62-C,N,Y,P,30.9,3,5,6,14,1,0,0,5,3,1,2,5/28/2020,6/17/2020,22,21,6.214,0.282454545,Y,Y,6,3,0,0,0
V63,V63-A,Y,Y,FP,36,5,7,0,12,2,0,1,8,2,2,NA,6/2/2020,6/21/2020,23,24.5,7.028,0.305565217,Y,Y,7,2,17,0,0.7916
V63,V63-B,Y,Y,FP,36,5,7,0,12,2,0,1,8,2,2,NA,6/2/2020,6/21/2020,26,24.5,7.883,0.303192308,Y,Y,7,2,17,0,0.7916
V64,V64-A,N,N,C,29.1,2,2,4,8,0,0,0,1,2,2,NA,5/28/2020,6/17/2020,19,12,3.328,0.175157895,Y,Y,3,1,0,0,0
V64,V64-B,N,N,C,29.1,2,2,4,8,0,0,0,1,2,2,NA,5/28/2020,6/17/2020,5,12,1.423,0.2846,Y,Y,3,1,0,0,0
V65,V65-A,Y,N,F,11.5,0,3 (dead),0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,19,0,0.9169
V66,V66-A,N,Y,P,37.9,3,7,0,10,1,0,0,3,1,1,NA,6/3/2020,6/24/2020,20,20,6.558,0.3279,Y,Y,6,2,0,0,0
V67,V67-A,Y,Y,FP,38,3,11,5,19,3,0,4,11,2,2,NA,5/31/2020,6/21/2020,28,30,10.368,0.370285714,Y,Y,17,1,19,0,0.9169
V67,V67-B,Y,Y,FP,38,3,11,5,19,3,0,4,11,2,2,NA,5/31/2020,6/21/2020,32,30,9.086,0.2839375,Y,Y,17,1,19,0,0.9169
V68,V68-A,N,N,C,33.2,4,7,2,13,4,0,0,5,2,2,NA,5/28/2020,6/17/2020,33,33,11.259,0.341181818,Y,Y,NA,NA,0,0,0
V68,V68-B,N,N,C,33.2,4,7,2,13,4,0,0,5,2,2,NA,5/28/2020,6/17/2020,33,33,10.393,0.314939394,Y,Y,NA,NA,0,0,0
V69,V69-A,Y,N,F,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,24,0,1.0598
V70,V70-A,N,Y,P,32.7,3,8,2,13,1,1,0,3,2,2,NA,5/28/2020,6/17/2020,27,26.5,8.795,0.325740741,Y,Y,17,1,0,0,0
V70,V70-B,N,Y,P,32.7,3,8,2,13,1,1,0,3,2,2,NA,5/28/2020,6/17/2020,26,26.5,8,0.307692308,Y,Y,17,1,0,0,0
V71,V71-A,Y,Y,FP,26,3,0,18,21,0,0,2,5,1,1,NA,5/31/2020,6/21/2020,9,9,1.963,0.218111111,Y,Y,7,1,17,0,0.8138
V72,V72-A,N,N,C,36,4,3,8,15,2,0,3,10,2,2,NA,5/28/2020,6/17/2020,20,20,6.603,0.33015,Y,Y,11,2,0,0,0
V72,V72-B,N,N,C,36,4,3,8,15,2,0,3,10,2,2,NA,5/28/2020,6/17/2020,20,20,6.468,0.3234,Y,Y,11,2,0,0,0
V73,V73-A,Y,N,F,33.5,2,4,12,18,4,1,0,8,2,2,NA,5/26/2020,6/14/2020,8,4,3.079,0.384875,Y,Y,12,2,21,0,0.9408
V73,V73-B,Y,N,F,33.5,2,4,12,18,4,1,0,8,2,2,NA,5/26/2020,6/14/2020,0,4,NA,NA,Y,Y,12,2,21,0,0.9408
V74,V74-A,N,Y,P,32.6,4,1,7,12,1,0,2,6,2,2,NA,5/26/2020,6/14/2020,0,0,NA,NA,Y,Y,8,2,0,0,0
V74,V74-B,N,Y,P,32.6,4,1,7,12,1,0,2,6,2,2,NA,5/26/2020,6/14/2020,0,0,NA,NA,Y,Y,8,2,0,0,0
V75,V75-A,Y,Y,FP,32.1,1,10,2,13,3,0,3,12,1,1,NA,5/31/2020,6/21/2020,22,22,8.548,0.388545455,Y,Y,3,4,20,0,0.955
V76,V76-A,N,N,C,28.5,2,8,1,11,0,1,0,4,2,2,NA,5/28/2020,6/17/2020,34,33,7.925,0.233088235,Y,Y,6,2,0,0,0
V76,V76-B,N,N,C,28.5,2,8,1,11,0,1,0,4,2,2,NA,5/28/2020,6/17/2020,32,33,7.237,0.22615625,Y,Y,6,2,0,0,0
V77,V77-A,Y,N,F,29.4,2,15,4,21,4,0,1,9,2,2,NA,6/2/2020,6/21/2020,20,22,3.248,0.1624,Y,Y,10,7,21,0,1.02
V77,V77-B,Y,N,F,29.4,2,15,4,21,4,0,1,9,2,2,NA,6/2/2020,6/21/2020,24,22,5.652,0.2355,Y,Y,10,7,21,0,1.02
V78,V78-A,N,Y,P,37.7,3,4,7,14,6,0,2,10,1,1,NA,6/2/2020,6/21/2020,17,17,4.252,0.250117647,Y,Y,9,4,0,0,0
V79,V79-A,Y,Y,FP,33.6,5,20,1,26,4,0,0,8,2,2,NA,5/28/2020,6/17/2020,32,31.5,9.845,0.30765625,Y,Y,20,2,29,0,1.3231
V79,V79-B,Y,Y,FP,33.6,5,20,1,26,4,0,0,8,2,2,NA,5/28/2020,6/17/2020,31,31.5,9.74,0.314193548,Y,Y,20,2,29,0,1.3231
V80,V80-A,N,N,C,37.6,2,11,4,17,2,0,0,6,2,2,NA,6/3/2020,6/24/2020,29,28,10.499,0.362034483,Y,Y,11,4,0,0,0
